OID_,Lion,GMT_Date,GMT_Time,Latitude,Longitude,Date_Time,LongitudeU,LatitudeUT
,F62b,1/28/2012 0:00:00,7:00,33.580185499999999,-117.545906900000010,1/28/2012 0:00:00,449339.733821999980000,3715742.855730000000000
,F62b,1/28/2012 0:00:00,7:05,33.580154200000003,-117.545958300000000,1/28/2012 0:00:00,449334.945545000020000,3715739.410560000200000
,F62b,1/28/2012 0:00:00,7:10,33.580112300000003,-117.546006899999990,1/28/2012 0:00:00,449330.410914000010000,3715734.788780000100000
,F62b,1/28/2012 0:00:00,7:15,33.580183800000000,-117.545928800000000,1/28/2012 0:00:00,449337.700481000010000,3715742.677949999900000
,F62b,1/28/2012 0:00:00,7:20,33.580191100000000,-117.546007300000000,1/28/2012 0:00:00,449330.419845000030000,3715743.525719999800000
,F62b,1/28/2012 0:00:00,7:25,33.580165899999997,-117.546010600000000,1/28/2012 0:00:00,449330.098874000020000,3715740.733349999900000
,F62b,1/28/2012 0:00:00,7:30,33.580191399999997,-117.545952099999990,1/28/2012 0:00:00,449335.542651999970000,3715743.531980000000000
,F62b,1/28/2012 0:00:00,7:35,33.580139899999999,-117.545962900000010,1/28/2012 0:00:00,449334.510302999990000,3715737.827329999800000
,F62b,1/28/2012 0:00:00,7:40,33.580215000000003,-117.546017300000000,1/28/2012 0:00:00,449329.505799999980000,3715746.180459999900000
,F62b,1/28/2012 0:00:00,7:45,33.580103700000002,-117.546050500000010,1/28/2012 0:00:00,449326.359747999990000,3715733.856600000100000
,F62b,1/28/2012 0:00:00,7:51,33.579220999999997,-117.546045199999990,1/28/2012 0:00:00,449326.335705999980000,3715635.986920000100000
,F62b,1/28/2012 0:00:00,7:55,33.578305899999997,-117.546204700000000,1/28/2012 0:00:00,449310.998766999980000,3715534.605620000000000
,F62b,1/28/2012 0:00:00,8:00,33.577662699999998,-117.546053099999990,1/28/2012 0:00:00,449324.691844000020000,3715463.218330000100000
,F62b,1/28/2012 0:00:00,8:05,33.576351099999997,-117.545748900000010,1/28/2012 0:00:00,449352.156732000000000,3715317.649350000100000
,F62b,1/28/2012 0:00:00,8:10,33.576069900000000,-117.544342700000000,1/28/2012 0:00:00,449482.495855999990000,3715285.785449999900000
,F62b,1/28/2012 0:00:00,8:15,33.576016799999998,-117.542876600000000,1/28/2012 0:00:00,449618.527418999990000,3715279.184160000200000
,F62b,1/28/2012 0:00:00,8:20,33.576079700000001,-117.541855700000000,1/28/2012 0:00:00,449713.309268000010000,3715285.662010000100000
,F62b,1/28/2012 0:00:00,8:25,33.576554700000003,-117.541133700000000,1/28/2012 0:00:00,449780.590045000020000,3715337.976139999900000
,F62b,1/28/2012 0:00:00,8:30,33.576617400000003,-117.541130300000010,1/28/2012 0:00:00,449780.941893999990000,3715344.926180000000000
,F62b,1/28/2012 0:00:00,8:35,33.576618799999999,-117.541085900000000,1/28/2012 0:00:00,449785.063251000010000,3715345.059880000100000
,F62b,1/28/2012 0:00:00,8:40,33.576647299999998,-117.541076800000000,1/28/2012 0:00:00,449785.924280999990000,3715348.215330000000000
